regio,jaar,met_schade,Q1,Q2,Q3,Q4,Q5,gemiddeld
CHINA,2030,True,3126.5014648091915,7204.727609856737,12844.723980486662,22899.815658425672,52770.46436469787,23588.966909476087
CHINA,2040,False,3811.18783970784,8782.522753997528,15657.646858586091,27914.74750652947,64326.9016010989,28754.81903609233
CHINA,2040,True,3811.18783970784,8782.522753997528,15657.646858586091,27914.74750652947,64326.9016010989,28754.81903609233
CHINA,2050,False,4645.81671015573,10705.846230599975,19086.584150864885,34027.92144602199,78414.13410729136,35051.96395295557
CHINA,2050,True,4645.81671015573,10705.846230599975,19086.584150864885,34027.92144602199,78414.13410729136,35051.96395295557
CHINA,2060,False,5663.224645998235,13050.366816423275,23266.439576664667,41479.84636672073,95586.39192550877,42728.14846851022
CHINA,2060,True,5663.224645998235,13050.366816423275,23266.439576664667,41479.84636672073,95586.39192550877,42728.14846851022
CHINA,2070,False,6903.439242648635,15908.32432810472,28361.660017099413,50563.701263272385,116519.27838462712,52085.374559821495
CHINA,2070,True,6903.439242648635,15908.32432810472,28361.660017099413,50563.701263272385,116519.27838462712,52085.374559821495
CHINA,2080,False,8415.25391556152,19392.1585874265,34572.7053026326,61636.86969421091,142036.3501726762,63491.7809517593
CHINA,2080,True,8415.25391556152,19392.1585874265,34572.7053026326,61636.86969421091,142036.3501726762,63491.7809517593
CHINA,2090,False,10258.147565908524,23638.93310972632,42143.934848032295,75135.00022318705,173141.51829691368,77396.126695724
CHINA,2090,True,10258.147565908524,23638.93310972632,42143.934848032295,75135.00022318705,173141.51829691368,77396.126695724
CHINA,2100,False,12504.624642325292,28815.7275553857,51373.22141637397,91589.14601836987,211058.54467335794,94345.44657129483
CHINA,2100,True,12504.624642325292,28815.7275553857,51373.22141637397,91589.14601836987,211058.54467335794,94345.44657129483
EAF,2020,False,514.115129017462,1124.9530680808562,1934.945045096135,3328.149799110537,7282.439508631767,3303.1246
EAF,2020,True,493.91677947467554,1080.7563619233226,1858.925698142416,3197.3947810630016,6996.329938192445,3173.35276196504
EAF,2030,False,626.703473507171,1371.3115127465458,2358.6872129686926,4056.996034022417,8877.253124971487,4026.490455947415
EAF,2030,True,587.6155470058907,1285.7818709198789,2211.5742698983763,3803.9584021956657,8323.572744455492,3775.3554779977862
EAF,2040,False,763.9480371965736,1671.6210821126092,2875.2265511218225,4945.455527414188,10821.322024221265,4908.269397962045
EAF,2040,True,695.1862584879677,1521.1610595243305,2616.4318658565016,4500.322740847704,9847.311601870248,4466.483677269049
EAF,2050,False,931.2483945085706,2037.6967714408686,3504.885122038272,6028.482692250124,13191.131164492095,5983.15300794676
EAF,2050,True,817.4490142166733,1788.6884175149098,3076.58504953965,5291.79675697877,11579.163229062253,5252.006400327372
EAF,2060,False,1135.186596535024,2483.940994027751,4272.435406487298,7348.686762887873,16079.915282934808,7293.430130661948
EAF,2060,True,954.7509573889748,2089.1235409090277,3593.3403434969546,6180.62769930037,13524.044908542885,6134.153998253492
EAF,2070,False,1383.7861268290344,3027.9102113160598,5208.07492029605,8958.008158249655,19601.327003885952,8890.65063189855
EAF,2070,True,1106.6832489860722,2421.5718349309386,4165.159024222686,7164.1689281368945,15676.16543663978,7110.299732124125
EAF,2080,False,1686.8275670707503,3691.005651839423,6348.614266755525,10919.761959173842,23893.908242229532,10837.653510407195
EAF,2080,True,1271.6887601423446,2782.626092136417,4786.180616867822,8232.340292508914,18013.468086890327,8170.439246161544
EAF,2090,False,2056.233391752577,4499.315293761369,7738.925365874093,13311.128895903932,29126.54081914454,13211.039155022965
EAF,2090,True,1446.5244383398388,3165.190077316453,5444.199434327625,9364.147731014738,20490.015028539692,9293.736338615348
EAF,2100,False,2506.5370307532853,5484.640236892181,9433.706837756405,16226.191847937867,35505.09073228672,16104.183012305248
