regio,jaar,type,met_schade,waarde
CEU,2030,Q3,True,31247.702290841597
CEU,2030,Q4,True,50613.374800327176
CEU,2030,Q5,True,101548.56696545755
CEU,2040,Q1,True,11618.581817800663
CEU,2040,Q2,True,23311.038602408134
CEU,2040,Q3,True,37757.98690050824
CEU,2040,Q4,True,61158.38934056218
CEU,2040,Q5,True,122705.64490019855
CEU,2050,Q1,True,14012.516314322802
CEU,2050,Q2,True,28114.129060020256
CEU,2050,Q3,True,45537.77868386274
CEU,2050,Q4,True,73759.68442890009
CEU,2050,Q5,True,147988.35847497685
CEU,2060,Q1,True,16866.4999339544
CEU,2060,Q2,True,33840.242915494775
CEU,2060,Q3,True,54812.6349282984
CEU,2060,Q4,True,88782.60582483142
CEU,2060,Q5,True,178129.7222036345
CEU,2070,Q1,True,20260.374294406374
CEU,2070,Q2,True,40649.57106490873
CEU,2070,Q3,True,65842.02437130132
CEU,2070,Q4,True,106647.42726039316
CEU,2070,Q5,True,213972.95579617805
CEU,2080,Q1,True,24285.388415659712
CEU,2080,Q2,True,48725.191741093404
CEU,2080,Q3,True,78922.48744742334
CEU,2080,Q4,True,127834.46924100124
CEU,2080,Q5,True,256481.7543075516
CEU,2090,Q1,True,29045.03766397044
CEU,2090,Q2,True,58274.75373594081
CEU,2090,Q3,True,94390.36268271168
CEU,2090,Q4,True,152888.51511488948
CEU,2090,Q5,True,306749.1483554138
CEU,2100,Q1,True,34655.65116947804
CEU,2100,Q2,True,69531.65497062504
CEU,2100,Q3,True,112623.69568039349
CEU,2100,Q4,True,182421.90314711354
CEU,2100,Q5,True,366003.7079286229
CHINA,2020,gemiddeld,False,19351.1689
CHINA,2020,gemiddeld,True,19351.1689
CHINA,2030,gemiddeld,False,23588.966909476087
CHINA,2030,gemiddeld,True,23588.966909476087
CHINA,2040,gemiddeld,False,28754.81903609233
CHINA,2040,gemiddeld,True,28754.81903609233
CHINA,2050,gemiddeld,False,35051.96395295557
CHINA,2050,gemiddeld,True,35051.96395295557
CHINA,2060,gemiddeld,False,42728.14846851022
CHINA,2060,gemiddeld,True,42728.14846851022
CHINA,2070,gemiddeld,False,52085.374559821495
CHINA,2070,gemiddeld,True,52085.374559821495
CHINA,2080,gemiddeld,False,63491.7809517593
CHINA,2080,gemiddeld,True,63491.7809517593
CHINA,2090,gemiddeld,False,77396.126695724
CHINA,2090,gemiddeld,True,77396.126695724
CHINA,2100,gemiddeld,False,94345.44657129483
CHINA,2100,gemiddeld,True,94345.44657129483
CHINA,2020,Q1,False,2564.8201612134026
CHINA,2020,Q2,False,5910.386045809564
CHINA,2020,Q3,False,10537.147479757868
CHINA,2020,Q4,False,18785.82484284396
CHINA,2020,Q5,False,43290.16072520236
CHINA,2030,Q1,False,3126.5014648091915
CHINA,2030,Q2,False,7204.727609856737
CHINA,2030,Q3,False,12844.723980486662
CHINA,2030,Q4,False,22899.815658425672
CHINA,2030,Q5,False,52770.46436469787
CHINA,2040,Q1,False,3811.18783970784
CHINA,2040,Q2,False,8782.522753997528
CHINA,2040,Q3,False,15657.646858586091
CHINA,2040,Q4,False,27914.74750652947
CHINA,2040,Q5,False,64326.9016010989
CHINA,2050,Q1,False,4645.81671015573
CHINA,2050,Q2,False,10705.846230599975
CHINA,2050,Q3,False,19086.584150864885
CHINA,2050,Q4,False,34027.92144602199
CHINA,2050,Q5,False,78414.13410729136
CHINA,2060,Q1,False,5663.224645998235
CHINA,2060,Q2,False,13050.366816423275
CHINA,2060,Q3,False,23266.439576664667
CHINA,2060,Q4,False,41479.84636672073
CHINA,2060,Q5,False,95586.39192550877
CHINA,2070,Q1,False,6903.439242648635
CHINA,2070,Q2,False,15908.32432810472
CHINA,2070,Q3,False,28361.660017099413
CHINA,2070,Q4,False,50563.701263272385
CHINA,2070,Q5,False,116519.27838462712
CHINA,2080,Q1,False,8415.25391556152
CHINA,2080,Q2,False,19392.1585874265
CHINA,2080,Q3,False,34572.7053026326
CHINA,2080,Q4,False,61636.86969421091
CHINA,2080,Q5,False,142036.3501726762
CHINA,2090,Q1,False,10258.147565908524
CHINA,2090,Q2,False,23638.93310972632
CHINA,2090,Q3,False,42143.934848032295
CHINA,2090,Q4,False,75135.00022318705
CHINA,2090,Q5,False,173141.51829691368
CHINA,2100,Q1,False,12504.624642325292
CHINA,2100,Q2,False,28815.7275553857
CHINA,2100,Q3,False,51373.22141637397
CHINA,2100,Q4,False,91589.14601836987
CHINA,2100,Q5,False,211058.54467335794
CHINA,2020,Q1,True,2564.8201612134026
CHINA,2020,Q2,True,5910.386045809564
CHINA,2020,Q3,True,10537.147479757868
CHINA,2020,Q4,True,18785.82484284396
CHINA,2020,Q5,True,43290.16072520236
CHINA,2030,Q1,True,3126.5014648091915
CHINA,2030,Q2,True,7204.727609856737
CHINA,2030,Q3,True,12844.723980486662
CHINA,2030,Q4,True,22899.815658425672
CHINA,2030,Q5,True,52770.46436469787
CHINA,2040,Q1,True,3811.18783970784
CHINA,2040,Q2,True,8782.522753997528
CHINA,2040,Q3,True,15657.646858586091
CHINA,2040,Q4,True,27914.74750652947
CHINA,2040,Q5,True,64326.9016010989
CHINA,2050,Q1,True,4645.81671015573
CHINA,2050,Q2,True,10705.846230599975
CHINA,2050,Q3,True,19086.584150864885
CHINA,2050,Q4,True,34027.92144602199
CHINA,2050,Q5,True,78414.13410729136
CHINA,2060,Q1,True,5663.224645998235
CHINA,2060,Q2,True,13050.366816423275
CHINA,2060,Q3,True,23266.439576664667
CHINA,2060,Q4,True,41479.84636672073
CHINA,2060,Q5,True,95586.39192550877
CHINA,2070,Q1,True,6903.439242648635
CHINA,2070,Q2,True,15908.32432810472
CHINA,2070,Q3,True,28361.660017099413
CHINA,2070,Q4,True,50563.701263272385
CHINA,2070,Q5,True,116519.27838462712
CHINA,2080,Q1,True,8415.25391556152
CHINA,2080,Q2,True,19392.1585874265
CHINA,2080,Q3,True,34572.7053026326
CHINA,2080,Q4,True,61636.86969421091
CHINA,2080,Q5,True,142036.3501726762
CHINA,2090,Q1,True,10258.147565908524
CHINA,2090,Q2,True,23638.93310972632
CHINA,2090,Q3,True,42143.934848032295
CHINA,2090,Q4,True,75135.00022318705
CHINA,2090,Q5,True,173141.51829691368
CHINA,2100,Q1,True,12504.624642325292
CHINA,2100,Q2,True,28815.7275553857
CHINA,2100,Q3,True,51373.22141637397
CHINA,2100,Q4,True,91589.14601836987
CHINA,2100,Q5,True,211058.54467335794
EAF,2020,gemiddeld,False,3303.1246
EAF,2020,gemiddeld,True,3173.35276196504
EAF,2030,gemiddeld,False,4026.490455947415
EAF,2030,gemiddeld,True,3775.3554779977862
EAF,2040,gemiddeld,False,4908.269397962045
EAF,2040,gemiddeld,True,4466.483677269049
EAF,2050,gemiddeld,False,5983.15300794676
EAF,2050,gemiddeld,True,5252.006400327372
EAF,2060,gemiddeld,False,7293.430130661948
EAF,2060,gemiddeld,True,6134.153998253492
EAF,2070,gemiddeld,False,8890.65063189855
EAF,2070,gemiddeld,True,7110.299732124125
EAF,2080,gemiddeld,False,10837.653510407195
EAF,2080,gemiddeld,True,8170.439246161544
EAF,2090,gemiddeld,False,13211.039155022965
EAF,2090,gemiddeld,True,9293.736338615348
EAF,2100,gemiddeld,False,16104.183012305248
EAF,2100,gemiddeld,True,10443.83323375456
EAF,2020,Q1,False,514.115129017462
EAF,2020,Q2,False,1124.9530680808562
EAF,2020,Q3,False,1934.945045096135
EAF,2020,Q4,False,3328.149799110537
EAF,2020,Q5,False,7282.439508631767
EAF,2030,Q1,False,626.703473507171
EAF,2030,Q2,False,1371.3115127465458
EAF,2030,Q3,False,2358.6872129686926
EAF,2030,Q4,False,4056.996034022417
EAF,2030,Q5,False,8877.253124971487
EAF,2040,Q1,False,763.9480371965736
EAF,2040,Q2,False,1671.6210821126092
EAF,2040,Q3,False,2875.2265511218225
EAF,2040,Q4,False,4945.455527414188
EAF,2040,Q5,False,10821.322024221265
EAF,2050,Q1,False,931.2483945085706
EAF,2050,Q2,False,2037.6967714408686
EAF,2050,Q3,False,3504.885122038272
EAF,2050,Q4,False,6028.482692250124
EAF,2050,Q5,False,13191.131164492095
EAF,2060,Q1,False,1135.186596535024
EAF,2060,Q2,False,2483.940994027751
EAF,2060,Q3,False,4272.435406487298
EAF,2060,Q4,False,7348.686762887873
EAF,2060,Q5,False,16079.915282934808
EAF,2070,Q1,False,1383.7861268290344
EAF,2070,Q2,False,3027.9102113160598
EAF,2070,Q3,False,5208.07492029605
EAF,2070,Q4,False,8958.008158249655
EAF,2070,Q5,False,19601.327003885952
EAF,2080,Q1,False,1686.8275670707503
EAF,2080,Q2,False,3691.005651839423
EAF,2080,Q3,False,6348.614266755525
EAF,2080,Q4,False,10919.761959173842
EAF,2080,Q5,False,23893.908242229532
EAF,2090,Q1,False,2056.233391752577
EAF,2090,Q2,False,4499.315293761369
EAF,2090,Q3,False,7738.925365874093
EAF,2090,Q4,False,13311.128895903932
EAF,2090,Q5,False,29126.54081914454
EAF,2100,Q1,False,2506.5370307532853
EAF,2100,Q2,False,5484.640236892181
EAF,2100,Q3,False,9433.706837756405
EAF,2100,Q4,False,16226.191847937867
EAF,2100,Q5,False,35505.09073228672
EAF,2020,Q1,True,493.91677947467554
EAF,2020,Q2,True,1080.7563619233226
EAF,2020,Q3,True,1858.925698142416
