Variable,Region,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,2105,2110,2115,2120,2125,2130,2135,2140,2145,2150
baseline,STAN,GtCO2/yr,0.485141,0.525282,0.554206,0.560608,0.544986,0.51536,0.501309,0.523029,0.54573,0.539888,0.548756,0.611058,0.676308,0.691832,0.680291,0.67444,0.673804,0.673535,0.670015,0.667011,0.664516,0.662102,0.659834,0.657864,0.656191,0.65478,0.653652
baseline,RUS,GtCO2/yr,1.8782,1.98627,2.02724,2.05032,2.03497,2.00062,1.96747,1.95244,1.96689,2.00741,2.01594,1.94861,1.8686,1.84169,1.8379,1.81554,1.78183,1.76092,1.73612,1.71266,1.691,1.67202,1.6558,1.64223,1.63125,1.62292,1.6177
baseline,ME,GtCO2/yr,2.00627,2.11356,2.20979,2.3794,2.56301,2.7134,2.8563,3.02095,3.18374,3.31599,3.42025,3.51077,3.6159,3.75526,3.90159,4.02661,4.1428,4.28952,4.40691,4.50554,4.58769,4.65781,4.71575,4.76069,4.79356,4.81486,4.82203
baseline,INDIA,GtCO2/yr,2.77719,3.44266,4.0492,4.55824,5.10641,5.81631,6.61321,7.40058,8.17663,8.9374,9.58254,10.0326,10.371,10.6846,10.9284,11.056,11.1395,11.2798,11.3952,11.4813,11.5433,11.5916,11.6257,11.6434,11.6461,11.6347,11.6056
baseline,KOR,GtCO2/yr,0.784572,0.832957,0.847403,0.827937,0.80316,0.776987,0.750376,0.721401,0.690042,0.656315,0.618618,0.57628,0.534084,0.497522,0.469385,0.450325,0.434994,0.420075,0.403041,0.388271,0.375596,0.36436,0.354635,0.34661,0.340194,0.335315,0.332273
baseline,CHN,GtCO2/yr,11.3913,12.5516,13.0849,13.0718,12.9325,12.6656,12.2686,11.7222,11.0564,10.3015,9.46957,8.5896,7.7675,7.10683,6.62416,6.29645,6.02858,5.76264,5.46579,5.20948,4.99055,4.79759,4.63185,4.49658,4.39016,4.31139,4.26579
baseline,SEAS,GtCO2/yr,1.51417,1.81077,2.06564,2.20617,2.24866,2.23957,2.26386,2.38159,2.52411,2.62241,2.72265,2.86512,2.96145,2.93983,2.90924,2.98056,3.10512,3.22475,3.31056,3.385,3.44835,3.49866,3.53632,3.56223,3.57722,3.58145,3.57286
baseline,INDO,GtCO2/yr,1.63506,1.72419,1.7752,1.84395,1.87654,1.83722,1.79278,1.81025,1.8679,1.92592,1.955,1.94096,1.91688,1.91568,1.92786,1.93813,1.94741,1.96538,1.97637,1.98346,1.9873,1.98888,1.98819,1.98511,1.97984,1.9725,1.96261
baseline,JAP,GtCO2/yr,1.06462,1.00842,0.96212,0.923887,0.911425,0.914801,0.925611,0.938492,0.942879,0.929838,0.901436,0.864035,0.830408,0.810857,0.799661,0.78891,0.777667,0.770788,0.760571,0.751233,0.742805,0.735225,0.728532,0.722769,0.717903,0.713918,0.710978
baseline,OCE,GtCO2/yr,0.388396,0.370025,0.365646,0.40973,0.467103,0.500509,0.493598,0.453406,0.430068,0.461927,0.495623,0.478526,0.448087,0.449632,0.469384,0.484734,0.496726,0.513399,0.527656,0.539493,0.549202,0.557521,0.56441,0.569708,0.573528,0.575948,0.57668
baseline,RSAS,GtCO2/yr,0.417044,0.546001,0.680879,0.814522,0.962161,1.14259,1.36887,1.64448,1.94068,2.23114,2.52904,2.85204,3.19712,3.55872,3.93963,4.34174,4.75704,5.19321,5.57512,5.90174,6.17874,6.4154,6.61163,6.76606,6.88154,6.95937,6.99171
baseline,RSAF,GtCO2/yr,0.786528,0.725859,0.796965,1.14947,1.44965,1.37663,1.12059,0.949817,0.921378,1.02884,1.22933,1.47213,1.71043,1.91421,2.11134,2.33244,2.56676,2.80705,3.01353,3.18933,3.33814,3.46468,3.56899,3.65049,3.71072,3.75033,3.76491
