SSP,Region,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,2105,2110,2115,2120,2125,2130,2135,2140,2145,2150
SSP1,SAF,0.4305651,0.4597025,0.4807397,0.5007309,0.5195613,0.5410705,0.5568972,0.5715548,0.5895239,0.6026605,0.6197419,0.6326857,0.6454194,0.6581183,0.6709767,0.6835680999999999,0.6974186399999998,0.7100100399999997,0.7213422999999997,0.7314154199999996,0.7402293999999996,0.7477842399999995,0.7540799399999996,0.7591164999999995,0.7628939199999994,0.7654121999999994,0.7666713399999994
SSP1,SEAS,0.43337819734467303,0.47755565774098646,0.5051251892873968,0.5322861538789526,0.5579754180776585,0.5807653637227441,0.6051660841657834,0.6261335912442657,0.646129203507592,0.666482346846675,0.683923562789995,0.699811454159582,0.714808511515082,0.7308653248211834,0.7447326830977,0.7565211756206953,0.7694885173959901,0.7812770099189854,0.7918866531896812,0.8013174472080774,0.8095693919741741,0.8166424874879713,0.8225367337494689,0.827252130758667,0.8307886785155656,0.8331463770201647,0.8343252262724642
SSP1,STAN,0.37024842408520603,0.43907324594074004,0.47800695112198976,0.5095900531709983,0.5376921752558621,0.5596866341183178,0.5801434602224943,0.601578168965027,0.6203638262770964,0.6412011457876526,0.6592881697666898,0.6778313562826835,0.69358586593267,0.7108431055579559,0.7262200002994725,0.7404403546513978,0.7560827444385155,0.7703030987904408,0.7831014177071736,0.7944777011887137,0.8044319492350614,0.8129641618462166,0.8200743390221792,0.8257624807629493,0.8300285870685269,0.832872657938912,0.8342946933741044
SSP1,TUR,0.46289899999999995,0.4976977,0.5196004,0.5361651,0.5561961,0.5755179,0.5956827,0.6162384,0.6363247,0.6554911,0.6699572,0.6886099,0.7028466,0.7208976,0.7345131,0.7477695,0.7623515399999999,0.7756079399999999,0.7875386999999998,0.7981438199999997,0.8074232999999997,0.8153771399999997,0.8220053399999997,0.8273078999999997,0.8312848199999996,0.8339360999999996,0.8352617399999996
SSP1,UKR,0.41238396874772654,0.4707099260792408,0.5020823621160421,0.5317182843649515,0.5576132696702113,0.5808209011198437,0.5984545322155062,0.6197777245591135,0.636765568690426,0.6576729305174617,0.6749650613872741,0.6911600891208902,0.70699247616826,0.7225689628308634,0.7374943229025759,0.7484051284770559,0.7604070146089839,0.7713178201834638,0.7811375452004958,0.7898661896600798,0.7975037535622158,0.8040502369069038,0.8095056396941438,0.8138699619239358,0.8171432035962798,0.8193253647111758,0.8204164452686238
SSP1,USA,0.7430847,0.7683175,0.7808739,0.7930847999999999,0.8049516,0.8167023,0.8280827999999999,0.8434698999999999,0.8544438,0.8610692,0.8722201,0.8831682,0.8900746000000002,0.9013418,0.908291,0.9193243,0.93146093,0.94249423,0.9524242,0.96125084,0.9689741500000001,0.9755941300000001,0.9811107800000001,0.9855241000000001,0.9888340900000001,0.9910407500000001,0.9921440800000001
SSP1,WAF,0.27402037689536535,0.3219318394683121,0.35454254602671154,0.3842820577507943,0.41414719816399465,0.4451115145534671,0.4720847365956663,0.49804674388831516,0.5227397053743721,0.5471950752036703,0.5693228309374375,0.5916123721594401,0.6105908290060661,0.6289258856434004,0.6453463688098819,0.6619178710783692,0.6801465235737052,0.6967180258421924,0.7116323778838309,0.7248895796986208,0.7364896312865619,0.7464325326476542,0.7547182837818978,0.7613468846892927,0.7663183353698388,0.7696326358235362,0.771289786050385
SSP1,WEU,0.6713094119566414,0.6959222183067024,0.7147290407137733,0.7336807766636917,0.7512709682871116,0.7677416184612594,0.7831645030924886,0.7970547405591392,0.8131945219346913,0.8276256952677224,0.8412651471783363,0.8542788571980983,0.8663627238503054,0.8771333794689673,0.8878501655811827,0.8981409642047569,0.9094608426906885,0.9197516413142627,0.9290133600754794,0.9372459989743388,0.9444495580108407,0.9506240371849852,0.9557694364967724,0.9598857559462021,0.9629729955332743,0.9650311552579891,0.9660602351203466
SSP1,World,0.4309064309446284,0.4724445428841216,0.49789371807752614,0.520729976512551,0.5428232796695687,0.5636037380259908,0.583172020883899,0.6029315032716713,0.6222641897963268,0.6400005156456933,0.6579385770765389,0.6744975292638259,0.6901878805843059,0.7051719428816149,0.7193368505227173,0.7325311201052837,0.7470448166461066,0.7602390862286729,0.7721139288529826,0.7826693445190356,0.791905333226832,0.7998218949763718,0.806419029767655,0.8116967376006815,0.8156550184754514,0.8182938723919647,0.8196132993502213
SSP2,BRA,0.408426443465943,0.423099337906118,0.43684892050386603,0.450281207937844,0.463040545146443,0.476526223011951,0.490368803662499,0.503700251210111,0.520198565079861,0.531981483896269,0.542825382582083,0.557821432705312,0.568080599546684,0.582700550732515,0.592578609135193,0.606755172885845,0.6223493930115622,0.6365259567622142,0.6492848641378011,0.6606261151383227,0.6705497097637791,0.6790556480141704,0.6861439298894965,0.6918145553897572,0.6960675245149528,0.6989028372650832,0.7003204936401484
SSP2,CAN,0.72403697264813,0.733531480915484,0.746551690945288,0.759260400240257,0.771010917700132,0.778192613658598,0.788942172247592,0.795232119492156,0.801515321855263,0.807878842725754,0.818551329479372,0.824806063398978,0.830996896691549,0.837167150823166,0.843357597950364,0.849597959168635,0.856462356508733,0.862702717727004,0.868319042823448,0.8733113317980647,0.8776795846508545,0.8814238013818171,0.8845439819909526,0.887040126478261,0.8889122348437424,0.8901603070873966,0.8907843432092237
SSP2,CEU,0.5338110367076495,0.5492970149813691,0.5602954834414055,0.5709737911389017,0.5819705539039469,0.5899927322623159,0.5995819409046611,0.6079705964714955,0.6176576037010311,0.6265318123280426,0.6361437593850288,0.645026908434714,0.6548872203345085,0.6630475804035223,0.6723612740890498,0.6809749394056452,0.6904499712539003,0.6990636365704958,0.7068159353554316,0.713706867608708,0.7197364333303249,0.7249046325202821,0.7292114651785799,0.7326569313052181,0.7352410309001968,0.7369637639635158,0.7378251304951754
SSP2,CHN,0.46404931715769565,0.4891587856139873,0.5054898177815841,0.5235913026017659,0.5356341964256228,0.5509117908347589,0.5653556433959518,0.5791355821548185,0.5922964325659615,0.6053543901351205,0.6179692452055147,0.6343271449955823,0.6462583061913865,0.6578678024547122,0.673416000747803,0.6845150197039254,0.69672394055566,0.7078229595117824,0.7178120765722926,0.7266912917371906,0.7344606050064763,0.7411200163801497,0.7466695258582109,0.7511091334406599,0.7544388391274967,0.7566586429187211,0.7577685448143333
SSP2,EAF,0.28897270462252544,0.3048325761582205,0.31763921678546714,0.33242143093966064,0.3460460237988433,0.3584674781045549,0.37145056784613045,0.3846025440708212,0.3980020793803558,0.4113710948965154,0.42479596948529197,0.4384716615674651,0.451744245355012,0.46420069900006344,0.47694925007164307,0.4904584878936482,0.5053186494978539,0.5188278873198591,0.5309862013596637,0.5417935916172678,0.5512500580926714,0.5593556007858744,0.566110219696877,0.571513914825679,0.5755666861722806,0.5782685337366816,0.5796194575188821
SSP2,INDIA,0.368644527446069,0.395739798456528,0.422491863192158,0.441254361265204,0.4572264513905309,0.471613304337997,0.489145611928177,0.501828793651194,0.514186199083702,0.530672692485157,0.546439368711144,0.55749728719158,0.57214077453128,0.586415551095017,0.596265053687892,0.609916339419131,0.624932753723494,0.6385840394547331,0.6508701966128483,0.6617912251978395,0.6713471252097069,0.6795378966484503,0.6863635395140699,0.6918240538065655,0.6959194395259373,0.6986496966721851,0.700014825245309
