Model,Scenario,Region,Variable,Unit,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
IMAGE,SSP3-Ref-SPA0-V17,KOR,GDP|PPP,billion US$2005/yr,1348.47998046875,1873.10400390625,2370.360107421875,2644.172119140625,2721.385009765625,2656.52294921875,2512.06201171875,2326.39501953125,2117.72705078125,1905.0030517578125
IMAGE,SSP4-Ref-SPA0-V17,KOR,GDP|PPP,billion US$2005/yr,1348.47998046875,1954.1639404296875,2650.055908203125,3223.044921875,3605.053955078125,3831.05908203125,3930.575927734375,3945.94189453125,3904.950927734375,3815.89404296875
IMAGE,SSP5-Ref-SPA0-V17,KOR,GDP|PPP,billion US$2005/yr,1348.47998046875,1994.64501953125,2865.22607421875,3732.114990234375,4532.27001953125,5321.8740234375,6138.15283203125,7017.47314453125,7953.541015625,8924.1865234375
IMAGE,SSP1-Ref-SPA0-V17,ME,GDP|PPP,billion US$2005/yr,2467.22705078125,3657.93310546875,5416.32080078125,7679.783203125,9979.8154296875,12302.0595703125,14668.1396484375,16779.23046875,18702.7109375,20298.44921875
IMAGE,SSP2-Ref-SPA0-V17,ME,GDP|PPP,billion US$2005/yr,2467.22705078125,3703.714111328125,5391.18603515625,7332.69189453125,9372.998046875,11606.4697265625,14161.1796875,16913.08984375,19894.94921875,23090.69921875
IMAGE,SSP3-Ref-SPA0-V17,ME,GDP|PPP,billion US$2005/yr,2467.22705078125,3691.008056640625,5292.2841796875,7098.32177734375,8594.4521484375,9764.490234375,10968.9697265625,12352.3701171875,13988.6796875,15902.2099609375
IMAGE,SSP4-Ref-SPA0-V17,ME,GDP|PPP,billion US$2005/yr,2467.22705078125,3797.805908203125,5693.9609375,8140.703125,10484.900390625,12692.6103515625,15085.9296875,17791.380859375,20961.779296875,24700.3203125
IMAGE,SSP5-Ref-SPA0-V17,ME,GDP|PPP,billion US$2005/yr,2467.22705078125,3850.81201171875,6279.751953125,10097.5,14366.2099609375,18817.130859375,23601.58984375,28439.560546875,33563.48046875,38804.41015625
IMAGE,SSP1-Ref-SPA0-V17,MEX,GDP|PPP,billion US$2005/yr,1412.3170166015625,1922.7349853515625,2688.552001953125,3746.97900390625,4932.6630859375,6129.5751953125,7243.3291015625,8205.298828125,8987.2685546875,9514.251953125
IMAGE,SSP2-Ref-SPA0-V17,MEX,GDP|PPP,billion US$2005/yr,1412.3170166015625,1947.1739501953125,2635.673095703125,3431.93603515625,4363.05908203125,5440.18798828125,6657.22119140625,8011.22705078125,9486.1240234375,11089.830078125
IMAGE,SSP3-Ref-SPA0-V17,MEX,GDP|PPP,billion US$2005/yr,1412.3170166015625,1978.9539794921875,2620.7060546875,3201.02392578125,3738.903076171875,4293.6171875,4895.60595703125,5538.1630859375,6177.537109375,6825.90380859375
IMAGE,SSP4-Ref-SPA0-V17,MEX,GDP|PPP,billion US$2005/yr,1412.3170166015625,1951.93994140625,2603.60888671875,3355.802001953125,4142.412109375,4988.7958984375,5851.9677734375,6683.56005859375,7476.9072265625,8215.5078125
IMAGE,SSP5-Ref-SPA0-V17,MEX,GDP|PPP,billion US$2005/yr,1412.3170166015625,1939.31201171875,2823.2890625,4204.22705078125,5796.15087890625,7498.01318359375,9233.9873046875,10952.8203125,12649.3896484375,14220.76953125
IMAGE,SSP1-Ref-SPA0-V17,NAF,GDP|PPP,billion US$2005/yr,989.4525146484375,1375.7060546875,2325.5390625,3721.1220703125,5327.8779296875,6994.671875,8602.59375,9910.80078125,10956.7099609375,11747.2802734375
IMAGE,SSP2-Ref-SPA0-V17,NAF,GDP|PPP,billion US$2005/yr,989.4525146484375,1386.27099609375,2222.720947265625,3267.06298828125,4518.82080078125,5991.0322265625,7657.3662109375,9384.1630859375,11163.2099609375,12978.9501953125
IMAGE,SSP3-Ref-SPA0-V17,NAF,GDP|PPP,billion US$2005/yr,989.4525146484375,1400.79296875,2144.02294921875,2856.39501953125,3548.6630859375,4319.02978515625,5223.25,6229.22119140625,7322.9599609375,8530.8251953125
IMAGE,SSP4-Ref-SPA0-V17,NAF,GDP|PPP,billion US$2005/yr,989.4525146484375,1509.9129638671875,2368.9970703125,3366.927001953125,4397.62890625,5503.18212890625,6626.51123046875,7613.67578125,8500.6640625,9302.6416015625
IMAGE,SSP5-Ref-SPA0-V17,NAF,GDP|PPP,billion US$2005/yr,989.4525146484375,1516.5030517578125,2708.10888671875,4657.1220703125,7013.94189453125,9641.900390625,12445.33984375,15100.1796875,17669.830078125,20158.130859375
IMAGE,SSP1-Ref-SPA0-V17,OCE,GDP|PPP,billion US$2005/yr,856.299072265625,1170.053955078125,1557.2919921875,2037.1600341796875,2573.0869140625,3136.030029296875,3748.02587890625,4327.09912109375,4835.61376953125,5287.89599609375
IMAGE,SSP2-Ref-SPA0-V17,OCE,GDP|PPP,billion US$2005/yr,856.299072265625,1166.574951171875,1499.8919677734375,1848.262939453125,2242.112060546875,2674.5009765625,3172.341064453125,3681.44091796875,4179.58984375,4676.02197265625
IMAGE,SSP3-Ref-SPA0-V17,OCE,GDP|PPP,billion US$2005/yr,856.299072265625,1131.58203125,1360.843994140625,1526.822021484375,1651.4739990234375,1740.9840087890625,1827.373046875,1872.7919921875,1890.219970703125,1900.3079833984375
IMAGE,SSP4-Ref-SPA0-V17,OCE,GDP|PPP,billion US$2005/yr,856.299072265625,1174.2239990234375,1548.10498046875,2000.72900390625,2496.8701171875,3011.674072265625,3562.485107421875,4067.81396484375,4505.60400390625,4876.3369140625
IMAGE,SSP5-Ref-SPA0-V17,OCE,GDP|PPP,billion US$2005/yr,856.299072265625,1219.9300537109375,1763.0240478515625,2563.553955078125,3596.6220703125,4879.98486328125,6518.52587890625,8463.390625,10647.240234375,13125.91015625
IMAGE,SSP1-Ref-SPA0-V17,RCAM,GDP|PPP,billion US$2005/yr,719.8309936523438,989.823974609375,1523.4229736328125,2339.5029296875,3366.43408203125,4511.59912109375,5675.85595703125,6770.994140625,7767.80517578125,8576.669921875
IMAGE,SSP2-Ref-SPA0-V17,RCAM,GDP|PPP,billion US$2005/yr,719.8309936523438,1000.2869873046875,1453.208984375,2031.1719970703125,2771.533935546875,3686.7880859375,4796.22607421875,6101.18798828125,7592.66796875,9242.7626953125
IMAGE,SSP3-Ref-SPA0-V17,RCAM,GDP|PPP,billion US$2005/yr,719.8309936523438,1016.7230224609375,1409.6259765625,1806.366943359375,2256.41796875,2773.006103515625,3389.48193359375,4118.9580078125,4945.87109375,5888.8291015625
IMAGE,SSP4-Ref-SPA0-V17,RCAM,GDP|PPP,billion US$2005/yr,719.8309936523438,1051.3349609375,1452.862060546875,1867.2099609375,2289.4619140625,2712.930908203125,3134.117919921875,3547.06103515625,3953.583984375,4369.85693359375
IMAGE,SSP5-Ref-SPA0-V17,RCAM,GDP|PPP,billion US$2005/yr,719.8309936523438,1042.45703125,1679.5009765625,2761.60009765625,4161.4609375,5771.21923828125,7492.01904296875,9248.3095703125,11060.9501953125,12844.6396484375
IMAGE,SSP1-Ref-SPA0-V17,RSAF,GDP|PPP,billion US$2005/yr,266.1046142578125,474.04949951171875,836.230224609375,1554.1639404296875,2890.256103515625,5039.71484375,8010.81396484375,11590.51953125,15515.66015625,19421.48046875
IMAGE,SSP2-Ref-SPA0-V17,RSAF,GDP|PPP,billion US$2005/yr,266.1046142578125,480.3865966796875,777.0123291015625,1218.6109619140625,1998.9610595703125,3288.218017578125,5259.8828125,8059.794921875,11798.8603515625,16506.619140625
IMAGE,SSP3-Ref-SPA0-V17,RSAF,GDP|PPP,billion US$2005/yr,266.1046142578125,482.34381103515625,738.2379760742188,1013.4639892578125,1417.4150390625,2012.302001953125,2834.2880859375,3899.97802734375,5209.958984375,6775.66796875
IMAGE,SSP4-Ref-SPA0-V17,RSAF,GDP|PPP,billion US$2005/yr,266.1046142578125,470.30950927734375,715.3403930664062,968.6179809570312,1328.8509521484375,1854.0400390625,2577.6650390625,3517.94091796875,4673.8291015625,6058.3251953125
