Year,BRA,CAN,CEU,CHN,EAF,INDIA,INDO,JAP,KOR,ME,MEX,NAF,OCE,RCAM,RSAF,RSAM,RSAS,RUS,SAF,SEAS,STAN,TUR,UKR,USA,WAF,WEU
1863,0.000425965,0.000703488,0.013406686,0,0,0.000609965,0,0,0,0,2.16E-05,0,0.00072045,0.000370691,0,0.000536515,0,0.000513241,0,0,8.93E-05,0,0.00018877,0.054809776,0,0.30713846
1864,0.000479584,0.00084272,0.01519374,0,0,0.000576814,0,0,0,0,6.13E-06,0,0.00090316,0.000611289,0,0.000702458,0,0.000575662,0,0,0.000100165,0,0.000211729,0.058656976,0,0.330665006
1865,0.000571897,0.001018592,0.017057622,0,0,0.000566869,0,0,0,0,2.04E-05,0,0.000973508,0.000588783,0,0.000811164,0,0.000550231,0,0,9.57E-05,0.000150224,0.000202375,0.058821856,0,0.353422112
1866,0.000646022,0.001242096,0.017632728,0,0,0.0006398,0,0,0,0,3.52E-05,0,0.00128006,0.000591925,0,0.001240298,0,0.001738543,0,0,0.000302508,0.000208848,0.000639437,0.059232224,0,0.363637344
1867,0.0005547,0.00159384,0.019658974,0,0,0,0,0,0,0,1.53E-05,0,0.001239852,0.00063426,0,0.001448859,0,0.001995163,0,0,0.00034716,0.000227168,0.000733822,0.07286597,0,0.379498806
1868,0.000752482,0.000945312,0.02220568,0,0,0,0,1.10E-05,0,0,1.16E-05,0,0.001532259,0.000599955,0,0.00157754,0,0.001659939,0,0,0.000288832,0.000175872,0.000610526,0.08235206,0,0.38177048
1869,0.000605044,0.000685168,0.023498902,0,0,0,0,1.83E-05,0,0,3.58E-06,0,0.001464684,0.000685097,0,0.001483135,0,0.002251784,0,0,0.000391811,0.000267472,0.000828207,0.09369581,0,0.39885205
1870,0.000698167,0.001223776,0.025342825,0,0,0,0,1.83E-05,0,0,1.05E-05,0,0.001402391,0.000639423,0,0.001436987,0,0.002443671,0,0,0.000425201,0.000157552,0.000898783,0.09862022,0,0.402805506
1871,0.000844686,0.001780704,0.028816481,0,0,0,0,2.56E-05,0,0,1.27E-05,0,0.00144091,0.000610938,0,0.001416934,0,0.003299071,0,0,0.00057404,0.000197856,0.0012134,0.10302069,0,0.426522576
1872,0.00085838,0.001846656,0.031256823,0,0,0,0,3.30E-05,0,0,2.52E-05,0,0.00163661,0.000622375,0,0.002154239,0,0.003386923,0,0,0.000589328,0.000245488,0.001245711,0.12630541,0,0.460755328
1873,0.001029011,0.001608496,0.03370641,0,0,0,0,4.03E-05,0,0,3.33E-05,0,0.001930549,0.000643812,0,0.002279856,0,0.003178852,0,0,0.000553122,0.00023816,0.001169183,0.1395068,0,0.484549352
1874,0.000996022,0.001623152,0.036139253,0,0,0,0,0.00058624,0,0,3.45E-05,0,0.002125629,0.000652745,0,0.002746472,0,0.003858549,0,0,0.000671391,0.00025648,0.001419175,0.13429659,0,0.443256084
1875,0.00093975,0.001875968,0.036420813,0,0,0,0,0.001439952,0,0,3.73E-05,0,0.002142736,0.000653235,0,0.002303863,0,0.004441146,0,0,0.000772764,0.000351744,0.001633455,0.13574754,0,0.492287714
1876,0.000843065,0.001857648,0.044040477,0,0,0,0,0.001403312,0,0,3.78E-05,0,0.002158161,0.000562245,0,0.002359145,0,0.005513865,0,0,0.000959418,0.0002748,0.002028001,0.13282001,0,0.495724534
1877,0.000878429,0.002022528,0.043547051,0,0,0,0,0.001289728,0,0,4.68E-05,0,0.002372097,0.000594452,0,0.002108804,0,0.005627146,0,0,0.000979129,0.000447008,0.002069666,0.14717555,0,0.494874496
1878,0.000949458,0.001934592,0.045640257,0,0,0.001766908,0,0.001857648,0,0,6.16E-05,0,0.002917052,0.000695229,0,0.001969728,0,0.00735413,0,0,0.001279625,0.000326096,0.002704852,0.1439036,0,0.496288814
1879,0.00080803,0.002183744,0.049143973,0,0,0.001684382,0,0.002315648,0,0,8.03E-05,0,0.003083507,0.000703534,0,0.002212081,0,0.007546018,0,0,0.001313014,0.000124576,0.002775427,0.17546896,0,0.510351234
1880,0.00092342,0.005232192,0.050658475,0,0,0.001886773,0,0.002348624,0,0,8.84E-05,0,0.003073339,0.000597637,0,0.002529777,0,0.008852237,0,0,0.001540298,0.000139232,0.003255856,0.19868424,0,0.578245168
1881,0.001031042,0.005591264,0.051961177,0,0,0.001839333,0,0.002414576,0,0,5.79E-05,0,0.003641577,0.000611772,0,0.002720196,0,0.009323864,0,0,0.001622359,0.0001832,0.00342932,0.2101929,0,0.593344503
1882,0.000948135,0.006617184,0.053693662,0,0,0.002196293,0,0.002513504,0,0,7.91E-05,0,0.004277829,0.000616851,0,0.002883988,0,0.009820921,0,0,0.001708848,0.000153888,0.003612138,0.23539395,0,0.613371928
1883,0.001170254,0.007430592,0.058628864,0,0,0.002440906,0,0.00271136,0,0,8.34E-05,0,0.005073743,0.000602475,0,0.002904794,0,0.011178001,0,0,0.001944981,0.000161216,0.004111273,0.25388258,0,0.645190094
1884,0.001282615,0.008599408,0.061014165,0,0,0.002730012,0,0.002956848,0,0,7.15E-05,0,0.005590824,0.00059499,0,0.003350284,0,0.011349081,2.20E-05,0,0.001974749,0.000175872,0.004174196,0.26758957,0,0.637953698
1885,0.001215464,0.008244001,0.06372881,0,0,0.002459401,0,0.003348896,0,0,6.38E-05,0,0.005999834,0.000617725,0,0.003614079,0,0.01236169,3.66E-05,0,0.002150944,0.000194192,0.004546634,0.27216227,0,0.636400138
1886,0.001236031,0.008797264,0.065614752,0,0,0.002772061,0,0.003605376,0,0,8.83E-05,0,0.006009109,0.000584847,0,0.003294289,0,0.01267842,4.76E-05,0,0.002206055,0.000135568,0.004663126,0.28746317,0,0.633417658
1887,0.001315565,0.01014928,0.067291634,0,0,0.003066015,0,0.004473744,0,0,0.000172716,0,0.00626125,0.000649592,0,0.003934682,0,0.013415914,4.76E-05,0,0.00233438,0.000245488,0.004934378,0.30738083,0,0.658054388
1888,0.001283198,0.013311312,0.073636913,0,0,0.003409552,0,0.005169904,0,0,0.000232112,0,0.006972248,0.000727473,0,0.005103893,0,0.013993887,8.06E-05,0,0.002434949,0.000267472,0.005146957,0.3738751,0,0.695156068
1889,0.001860401,0.011292448,0.078833,0,0,0.004021827,3.66E-06,0.006254448,0,0,0.000297114,0,0.007562008,0.000819215,0,0.005677822,0,0.015112843,0.000131904,0,0.002629647,0.00040304,0.005558508,0.3355424,0,0.725515958
1890,0.001713533,0.012413632,0.083264688,0,0,0.004431669,1.47E-05,0.006756416,0,0,0.000456209,0,0.006872483,0.000824142,0,0.004616303,0,0.017114943,0.000296784,7.33E-06,0.002978015,0.0003664,0.006294881,0.4017473,0,0.756421796
1891,0.00207202,0.01394152,0.088684909,0,0,0.004772419,2.20E-05,0.008123088,0,0,0.001104052,0,0.008375925,0.000983275,0,0.004511984,0,0.018844237,0.000296784,1.83E-05,0.003278915,0.00040304,0.006930917,0.42742458,0,0.779127618
1892,0.002145624,0.013890224,0.087211822,0,0,0.00524729,0.000190757,0.008075456,0,0,0.001620459,0,0.007961785,0.001094128,0,0.004582127,0,0.019947011,0.000479984,0.000260144,0.003470797,0.000410368,0.007336517,0.4504492,0,0.765435266
