region,labourprod_adapt_eff_cost_param,labourprod_adapt_eff_max_effectiveness,labourprod_noadapt_ead_constant,labourprod_noadapt_ead_linear,riverine_adapt_eff_cost_param,riverine_adapt_eff_max_effectiveness,riverine_noadapt_ead_constant,riverine_noadapt_ead_linear,riverine_noadapt_ead_quadr,slr_adapt_eff_cost_param,slr_adapt_eff_max_effectiveness,slr_noadapt_ead_constant,slr_noadapt_ead_power,slr_noadapt_ead_prod
MEX,167.54849247749252,0.1899406314116743,-0.0299717606049749,0.0288980099167773,545.7561555401539,0.7911850828660484,0.0032986739694696,-0.0008845176740061,0.0002784638006976,32699.680231542865,0.967799257705363,3.762338566283838e-22,0.4952219901839867,0.0556277294475897
NAF,155.09479916975002,0.1851227796270902,0.0016747740947339,0.0056773888390476,2056.255241770182,0.9136912705183008,-7.120356307030544e-05,0.0029293301589817,0.000455781781888,135103.0571260257,0.969846953767683,0.0114370707107967,0.2000000000000008,0.0034682889328242
OCE,249.87269520936428,0.1843704395186618,-0.0301248408617648,0.0315960597380685,2374.43397862602,0.7615636696817244,0.0045657496534566,-0.0011521508893677,0.0002748996929577,19578.833128847797,0.7434554690371985,0.0008138299344907,0.6149489601833431,0.005345403841226
RCAM,453.07641863992586,0.2135780439204057,-0.014944498915921,0.0209281485402715,1469.061966045745,0.9259127618670356,0.0020024099545212,0.0006541199839251,7.955685696052951e-07,28651.87504078407,0.7971237931940075,4.073486268839119e-14,0.3291084478369998,0.0022590727973074
RSAF,493.8896145164479,0.1729856978750859,-0.023935532963444,0.0276911148022175,281.5208646773987,0.999999999999993,-0.0002778311450358,0.0066738234497883,1.415136840179473e-07,1206128.2096478073,0.3945431856786181,0.0009575100360894,1.371139349951165,0.0031476275527686
RSAM,77.37807251702041,0.1985235831736555,-0.0165830415069379,0.0187572680097775,316.08627485747047,0.9315206574863004,0.0001020480349385,0.0023388103670919,2.1470145964355633e-08,11326.275841404517,0.6481627969785784,0.0009395668188462,1.5246079444448588,0.0065269877960633
RSAS,307.2400960910775,0.1807050270344385,-0.0004276460855879,0.0080460431407564,188.43383751308625,0.9999990198783006,7.601085449342526e-05,0.0051617592600204,1.0023355729934904e-08,51437.893653728854,0.0401463377408974,0.0033448465841352,1.745383183814869,0.005771616384748
RUS,4250.118626737073,0.2167618630300508,-0.0008063024462976,0.0043415743246167,300.6619260716794,0.8478085194748822,0.0012551644226987,0.0014287605608631,7.602410060750376e-07,15014.825246221495,0.790078095082002,0.0004372684731951,0.7963468496430945,0.0025199143136314
SAF,382.40803749902886,0.233877976286795,-0.0124258198441394,0.0174429587102875,412.2728272891554,0.8538294614254428,0.0086878574541133,0.0007945727655849,1.6389112257235288e-08,716834.7302142888,0.8369657320907394,2.057794961166299e-05,0.2000242785739705,5.495378305329886e-05
SEAS,42.510489305059195,0.1929785233695587,-0.0168633898330384,0.0242787288008458,148.07415154461964,0.9764174557928236,-0.009822739042296,0.0124056597577105,6.043986901284405e-07,3896.609079204947,0.9208456560255359,6.98202435821488e-05,0.9372602135783944,0.0516668698125016
STAN,784.6785160954643,0.1732154867701748,0.0011397379348536,0.0043840400414292,739.1807480776466,0.9999999999999952,-0.0010768012703766,0.0033231242538507,3.3718749069260197e-07,0.0,0.0,0.0,0.0,0.0
TUR,313.80923798989363,0.2021230707290996,-0.0130399104386539,0.0131530011947487,859.3632419620926,0.7814127288025232,0.0019010915750709,-0.0005125236724453,0.0001395394359393,500902.58420213824,0.9351080981505023,0.000408090511278,1.0656725711051556,0.0030507047350775
UKR,1208.9101541677196,0.1821633808938561,-0.0081459091645448,0.00805650052191,432.7856658760588,0.8870075125440624,0.0074696591072334,0.0040819948444437,2.308030822409778e-09,259342.7794647504,0.8475743988302278,3.377786340357674e-16,0.4361999018032081,0.0028118449118042
USA,9.090881182298205,0.1754688169159584,-0.015229716970248,0.0241705679958705,271.9238815574235,0.5371736802902726,0.0022835602315491,-0.0008505074401082,0.0001753666634688,604.4783683210223,0.7434575987713635,0.0002717198181962,0.74765532104568,0.0061597797895886
WAF,310.53535531964445,0.1500912468712434,-0.030853506062405,0.0333342462340147,90.74149414930842,1.0,-0.0178437492464709,0.0421985211501977,1.1147970460100604e-10,14398.111328867317,0.9231454666688174,0.0033145683293671,0.7934528964196154,0.0142293554845413
WEU,64.84382790787708,0.2267296440893083,-0.0162944600789456,0.0182616496628023,264.88626921806707,0.6560771170389735,0.0010063905359461,-2.1276402933864813e-05,4.5686106971328154e-05,1100.196721886944,0.9999999999999877,0.0007316089507698,1.454788771661706,0.0510608448614368
